Date,Ingredient,Consumption,Stock_Level,Purchase_Date,Expiration_Date,Shelf_Life_Days
2022-01-01,Tomato,11835.0,5000.0,2022-01-01,2022-01-15,14
2022-01-01,Syrup_Diet,6000.0,5000.0,2022-01-01,2022-06-30,180
2022-01-01,Cocoa,2340.0,82.0,2021-12-25,2022-12-25,365
2022-01-01,Cocoa,2340.0,5000.0,2022-01-01,2023-01-01,365
2022-01-01,Egg,16650.0,100.0,2022-01-01,2022-01-06,5
2022-01-01,Potato,37935.0,5000.0,2022-01-01,2022-01-11,10
2022-01-01,Oil,2070.0,1875.0,2021-12-25,2022-03-25,90
2022-01-01,Butter,3240.0,783.0,2021-12-25,2022-01-24,30
2022-01-01,Butter,3240.0,5000.0,2022-01-01,2022-01-31,30
2022-01-01,Salt,1686.0,2684.0,2021-12-25,2022-12-25,365
2022-01-01,Cream,18075.0,5000.0,2022-01-01,2022-01-15,14
2022-01-01,Mango,9000.0,5000.0,2022-01-01,2022-01-11,10
2022-01-01,Syrup_Zero,5325.0,5000.0,2022-01-01,2022-06-30,180
2022-01-01,Veggie_Patty,31230.0,5000.0,2022-01-01,2022-01-31,30
2022-01-01,Oreo,3150.0,5000.0,2022-01-01,2022-06-30,180
2022-01-01,Paneer,14550.0,5000.0,2022-01-01,2022-01-08,7
2022-01-01,Chocolate,4275.0,575.0,2021-12-25,2022-12-25,365
2022-01-01,Chocolate,4275.0,5000.0,2022-01-01,2023-01-01,365
2022-01-01,Flour,10350.0,5000.0,2022-01-01,2022-06-30,180
2022-01-01,Pepper,672.0,2963.0,2021-12-25,2022-12-25,365
2022-01-01,Garlic_Powder,291.0,4706.0,2021-12-25,2022-12-25,365
2022-01-01,Sugar,17070.0,5000.0,2022-01-01,2023-01-01,365
2022-01-01,Apple,7200.0,5000.0,2022-01-01,2022-01-31,30
2022-01-01,Strawberry,13650.0,5000.0,2022-01-01,2022-01-11,10
2022-01-01,Water,80700.0,5000.0,2022-01-01,2023-01-01,365
2022-01-01,Paprika,436.5,3349.5,2021-12-25,2022-12-25,365
2022-01-01,Masala_Mix,2752.5,1004.5,2021-12-25,2022-12-25,365
2022-01-01,Syrup,1875.0,2645.0,2021-12-25,2022-06-23,180
2022-01-01,Lettuce,8685.0,5000.0,2022-01-01,2022-01-08,7
2022-01-01,Bread_Crumbs,1830.0,1534.0,2021-12-25,2022-06-23,180
2022-01-01,Milk,70125.0,5000.0,2022-01-01,2022-01-08,7
2022-01-01,Syrup_Sprite,6975.0,5000.0,2022-01-01,2022-06-30,180
2022-01-01,Bun,44700.0,100.0,2022-01-01,2022-01-08,7
2022-01-02,Tomato,10320.0,5000.0,2022-01-02,2022-01-16,14
2022-01-02,Syrup_Diet,1560.0,3440.0,2022-01-01,2022-06-30,180
2022-01-02,Cocoa,3504.0,1578.0,2022-01-01,2023-01-01,365
2022-01-02,Egg,12744.0,100.0,2022-01-02,2022-01-07,5
